FECHACORTE;TITULO_EVENTO;CATEGORIA;FECHA_INICIO_EVENTO;FECHA_FIN_EVENTO;TIPO_INGRESO;UBICACION;FECHA_PUBLICACION_EVENTO;TIPO_EVENTO;SEDE
20230919;Cuentos breves y extraordinarios;Taller y/o curso;20230121;20230121;Ingreso Libre;Hall de Intelectuales;20221227;Presencial;Gran Biblioteca Pública de Lima
20230919;Diviértete con los juegos tradicionales;Taller y/o curso;20230113;20230120;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - Rímac
20230919;Elaboremos nuestros animales favoritos en Origami;Taller y/o curso;20230119;20230119;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - Breña
20230919;Manualidades con material reciclable;Taller y/o curso;20230119;20230126;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - Rímac
20230919;Ajedrez para principiantes;Taller y/o curso;20230119;20230126;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Aprendiendo origami;Taller y/o curso;20230118;20230125;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - Rímac
20230919;Canva para principiantes;Taller y/o curso;20230117;20230124;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Microsoft Word para principiantes;Taller y/o curso;20230113;20230127;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;Juega creando animales con papel;Taller y/o curso;20230112;20230126;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;Manitos creativas;Taller y/o curso;20230111;20230127;Ingreso Libre;Sala Infantil;20221227;Presencial;Gran Biblioteca Pública de Lima
20230919;Aprende Braille;Taller y/o curso;20230104;20230104;Ingreso Libre;Otros;20221227;Presencial;Gran Biblioteca Pública de Lima
20230919;Historias ocultas 200 hechos que no conoces del Perú;Presentación de publicación;20230125;20230125;Ingreso Libre;Otros;20221227;Presencial;Gran Biblioteca Pública de Lima
20230919;Servicios accesibles para personas con discapacidad visual desde la BNP;Charla, conversatorio y/o conferencia;20230119;20230119;Ingreso Libre;Hall principal;20221227;Presencial;Gran Biblioteca Pública de Lima
20230919;Hora del cuento;Mediación de lectura;20230118;20230125;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Por el agujero de un reloj;Club de lectura;20230121;20230211;Ingreso Libre;Sala Infantil;20221227;Presencial;Gran Biblioteca Pública de Lima
20230919;"Episodio José María Arguedas del podcast ""Dicho en el Perú""";Presentación de publicación;20230117;20230117;Ingreso Libre;Hall de Intelectuales;20221227;Presencial;Gran Biblioteca Pública de Lima
20230919;Plantas Nativas del Perú;Presentación de publicación;20230114;20230114;Ingreso Libre;Sala Infantil;20221227;Presencial;Gran Biblioteca Pública de Lima
20230919;Apuntes sobre el libro como fuente;Presentación de publicación;20230116;20230116;Ingreso Libre;Otros;20221227;Presencial;Biblioteca Nacional del Perú
20230919;Descubriendo la magia de los cuentos;Club de lectura;20230113;20230127;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;Voces y letras;Club de lectura;20230112;20230126;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;Los resortes de la imaginación. Libros para jugar, explorar y descubrir;Exposición;20230114;20230128;Ingreso Libre;Sala Infantil;20221227;Presencial;Gran Biblioteca Pública de Lima
20230919;Los compas de las letras;Club de lectura;20230107;20230128;Ingreso Libre;Sala Escolar;20221227;Presencial;Gran Biblioteca Pública de Lima
20230919;Aniversario de Lima;Exposición;20230103;20230131;Ingreso Libre;Sala;20221227;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Voces y letras;Club de lectura;20221222;20221229;Ingreso Libre;Sala;20221216;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;Navidad en la biblioteca cutervina;Mediación de lectura;20221220;20221220;Ingreso Libre;Sala Principal;20221216;Presencial;Estación de Biblioteca Pública Cutervo-Cajamarca
20230919;Cuentos navideños;Narración oral;20221229;20221229;Ingreso Libre;Sala;20221216;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;Navidad con las usuarias y las usuarios;Mediación de lectura;20221221;20221221;Ingreso Libre;Sala;20221216;Presencial;Estación de Biblioteca Pública - Comas
20230919;Navidad en la biblioteca;Mediación de lectura;20221221;20221221;Ingreso Libre;Sala;20221216;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Taller: Adornos navideños;Taller y/o curso;20221222;20221222;Ingreso Libre;Sala;20221129;Presencial;Estación de Biblioteca Pública - Breña
20230919;Guardianes y Guardianas del Agua: Una mirada a las comunidades de Huarochirí frente al Cambio Climático (Andrés Malatesta, 2022);Cinefórum y/o proyección de cine;20221203;20221203;Ingreso Libre;Otros;20221129;Presencial;Gran Biblioteca Pública de Lima
20230919;Manitos creativas;Taller y/o curso;20221203;20221207;Ingreso Libre;Sala Infantil;20221129;Presencial;Gran Biblioteca Pública de Lima
20230919;Origami navideño;Taller y/o curso;20221202;20221202;Ingreso Libre;Sala;20221129;Presencial;Estación de Biblioteca Pública - Comas
20230919;Adornos navideños a crochet;Taller y/o curso;20221202;20221216;Ingreso Libre;Sala;20221129;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;Historias de Navidad;Mediación de lectura;20221220;20221220;Ingreso Libre;Sala;20221129;Presencial;Estación de Biblioteca Pública - Breña
20230919;Descubriendo el mundo del manga y el anime;Charla, conversatorio y/o conferencia;20221213;20221213;Ingreso Libre;Sala;20221129;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Plantas nativas del Perú;Presentación de publicación;20221217;20221217;Ingreso Libre;Sala Infantil;20221129;Presencial;Gran Biblioteca Pública de Lima
20230919;Atoq Quteq;Mediación de lectura;20221210;20221210;Ingreso Libre;Sala Principal;20221128;Presencial;Estación de Biblioteca Pública Cutervo-Cajamarca
20230919;Hora del cuento;Mediación de lectura;20221207;20221214;Ingreso Libre;Sala;20221128;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Arboleo Navideño;Mediación de lectura;20221206;20221206;Ingreso Libre;Sala;20221128;Presencial;Estación de Biblioteca Pública - Breña
20230919;Mundo manga;Exposición;20221201;20221231;Ingreso Libre;Sala;20221128;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Escenas a viva voz;Mediación de lectura;20221210;20221210;Ingreso Libre;Sala Infantil;20221128;Presencial;Gran Biblioteca Pública de Lima
20230919;"Lectura colectiva de ""Trilce""";Exposición;20221202;20221202;Ingreso Libre;Sala de Exposiciones Francisco Laso;20221128;Presencial;Biblioteca Nacional del Perú
20230919;Contra todas las contras: 100 años de Trilce;Exposición;20221201;20221222;Ingreso Libre;Sala de Exposiciones Francisco Laso;20221128;Presencial;Biblioteca Nacional del Perú
20230919;Los libros del Libertador en la BNP;Exposición;20221201;20221210;Ingreso Libre;Hall principal;20221128;Presencial;Gran Biblioteca Pública de Lima
20230919;La raíz que permanece en el tiempo. Poesía de Wiñay Mallki;Charla, conversatorio y/o conferencia;20221117;20221117;Ingreso Libre;Sala de Usos Múltiples (SUM);20221116;Presencial;Biblioteca Nacional del Perú
20230919;Literatura Fantástica. Seres míticos del Perú;Exposición;20221111;20221111;Ingreso Libre;Sala de Arte y Literatura;20221108;Presencial;Gran Biblioteca Pública de Lima
20230919;Taller de emprendimiento: Manualidades a crochet;Taller y/o curso;20221104;20221125;Ingreso Libre;Sala;20221102;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;Taller creativo: Mi libro acordeón;Taller y/o curso;20221124;20221124;Ingreso Libre;Sala;20221031;Presencial;Estación de Biblioteca Pública - Breña
20230919;Leru leru leru. Poesía para niñas y niños;Mediación de lectura;20221124;20221124;Ingreso Libre;Sala Infantil;20221031;Presencial;Gran Biblioteca Pública de Lima
20230919;Club de lectura “Por el agujero de un reloj”;Club de lectura;20221119;20221217;Ingreso Libre;Sala Infantil;20221031;Presencial;Gran Biblioteca Pública de Lima
20230919;Picnic de lectura por “Día de la Biblioteca Escolar”;Mediación de lectura;20221110;20221110;Ingreso Libre;Sala;20221028;Presencial;Estación de Biblioteca Pública - Comas
20230919;“El increíble niño comelibros” por el Día de la Biblioteca Escolar;Mediación de lectura;20221110;20221110;Ingreso Libre;Sala Principal;20221028;Presencial;Estación de Biblioteca Pública Cutervo-Cajamarca
20230919;Cuentacuentos: Brujas de aquí y de allá;Narración oral;20221105;20221105;Ingreso Libre;Sala Infantil;20221028;Presencial;Gran Biblioteca Pública de Lima
20230919;Club de lectura “Voces y letras”;Club de lectura;20221103;20221124;Ingreso Libre;Sala;20221028;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;"Club de lectura ""Grandes lectores""";Club de lectura;20221104;20221125;Ingreso Libre;Sala;20221028;Presencial;Estación de Biblioteca Pública - Rímac
20230919;Desde el níveo y gélido corazón de la reina de las nieves.;Charla, conversatorio y/o conferencia;20221105;20221105;Ingreso Libre;Sala Infantil;20221028;Presencial;Gran Biblioteca Pública de Lima
20230919;Crujidos, chasquidos y conjuros: Las brujas en la literatura infantil;Exposición;20221022;20221022;Ingreso Libre;Sala Infantil;20221020;Presencial;Gran Biblioteca Pública de Lima
20230919;Cinefórum BNP: Dinero gris (Eduardo Ramos, 2022);Cinefórum y/o proyección de cine;20221018;20221018;Ingreso Libre;Auditorio Mario Vargas Llosa;20221005;Presencial;Biblioteca Nacional del Perú
20230919;Leru leru leru: Lírica infantil para niñas y niños;Otros;20221020;20221020;Ingreso Libre;Sala Infantil;20221004;Presencial;Gran Biblioteca Pública de Lima
20230919;Warmiwan allpawan (Mujer y tierra);Exposición;20221015;20221031;Ingreso Libre;Otros;20221004;Presencial;Biblioteca Nacional del Perú
20230919;Capaces de todo;Otros;20221015;20221015;Ingreso Libre;Otros;20221004;Presencial;Biblioteca Nacional del Perú
