FECHACORTE;TITULO_EVENTO;CATEGORIA;FECHA_INICIO_EVENTO;FECHA_FIN_EVENTO;TIPO_INGRESO;UBICACION;FECHA_PUBLICACION_EVENTO;TIPO_EVENTO;SEDE
20230919;Cazadores de libros;Club de lectura;20230704;20230711;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Elaborando mi propio huaco de arcilla;Taller y/o curso;20230721;20230721;Ingreso Libre;Sala Principal;20230628;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;Importancia del Qhapaq Ñan: sistema vial andino;Taller y/o curso;20230714;20230714;Ingreso Libre;Sala para Invidentes;20230628;Presencial;Gran Biblioteca Pública de Lima
20230919;"Montaje de teatro de títeres del cuento ""Claudilla, la tigrilla""";Taller y/o curso;20230713;20230714;Ingreso Libre;Sala Principal;20230628;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;Reusamos y nos recreamos;Taller y/o curso;20230711;20230721;Ingreso Libre;Sala Principal;20230628;Presencial;Estación de Biblioteca Pública Cutervo-Cajamarca
20230919;Tejiendo mis sueños;Taller y/o curso;20230707;20230721;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;Aprende matemáticas jugando;Taller y/o curso;20230707;20230714;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - Comas
20230919;Tejiendo mis sueños;Taller y/o curso;20230707;20230707;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - Comas
20230919;Historias de educadoras peruanas rebeldes: Elvira García y García, Emilia Barcia Boniffatti, Jovita Vásquez y Miriam Cabezas;Taller y/o curso;20230706;20230706;Ingreso Libre;Sala Principal;20230628;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;Romantirok;Conciertos;20230721;20230721;Ingreso Libre;Hall principal;20230628;Presencial;Gran Biblioteca Pública de Lima
20230919;Bisutería para principiantes;Taller y/o curso;20230705;20230719;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - Rímac
20230919;"61° Aniversario de creación de la Estación de Biblioteca Pública ""Ricardo Arbulú Vargas""";Otros;20230721;20230721;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;"""Vórtice y salida"" de Luis Díaz Cornejo y ""Nocturnos poemas"" de Jessica Díaz Noblecilla";Charla, conversatorio y/o conferencia;20230720;20230720;Ingreso Libre;Hall principal;20230628;Presencial;Gran Biblioteca Pública de Lima
20230919;XXII Aniversario de la Sala para Personas con Discapacidad Visual “Delfina Otero Villarán”;Otros;20230720;20230720;Ingreso Libre;Sala para Invidentes;20230628;Presencial;Gran Biblioteca Pública de Lima
20230919;Soy lo que leo;Club de lectura;20230719;20230719;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - Comas
20230919;Peruanísimos;Exposición;20230715;20230731;Ingreso Libre;Sala Principal;20230628;Presencial;Estación de Biblioteca Pública Cutervo-Cajamarca
20230919;Por el agujero de un reloj. La maravillosa medicina de Jorge;Charla, conversatorio y/o conferencia;20230715;20230715;Ingreso Libre;Sala Infantil;20230628;Presencial;Gran Biblioteca Pública de Lima
20230919;La lectura en el aula, estrategias y acciones;Taller y/o curso;20230710;20230711;Ingreso Libre;Sala Principal;20230628;Presencial;Estación de Biblioteca Pública Cutervo-Cajamarca
20230919;Tarateñas lectoras;Mediación de lectura;20230713;20230720;Ingreso Libre;Sala Principal;20230628;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;"""Supremo sur"" y ""Filigranas para Camila""";Charla, conversatorio y/o conferencia;20230713;20230713;Ingreso Libre;Hall principal;20230628;Presencial;Gran Biblioteca Pública de Lima
20230919;Hora del cuento;Mediación de lectura;20230711;20230718;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Te leo un cuento;Mediación de lectura;20230714;20230721;Ingreso Libre;Sala Infantil;20230628;Presencial;Gran Biblioteca Pública de Lima
20230919;Grandes lectores;Club de lectura;20230707;20230721;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - Rímac
20230919;La hermosa melancolía: José María Eguren;Mediación de lectura;20230707;20230707;Ingreso Libre;Sala Principal;20230628;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;Edad de oro;Club de lectura;20230706;20230720;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;Loncheras saludables;Charla, conversatorio y/o conferencia;20230705;20230705;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;La hora del cuento en Tarata;Mediación de lectura;20230705;20230705;Ingreso Libre;Sala Principal;20230628;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;Lectores en acción;Club de lectura;20230705;20230712;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - Comas
20230919;Mujer, derechos y oportunidades;Charla, conversatorio y/o conferencia;20230704;20230704;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - Rímac
20230919;Una mirada a la historia del Perú;Exposición;20230703;20230731;Ingreso Libre;Sala;20230628;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;La Independencia del Perú a través de los libros;Exposición;20230703;20230726;Ingreso Libre;Sala Principal;20230628;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;La victoria de los libros;Club de lectura;20230614;20230628;Ingreso Libre;Sala;20230613;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Homenaje a la muliza;Otros;20230616;20230616;Ingreso Libre;Hall principal;20230609;Presencial;Gran Biblioteca Pública de Lima
20230919;"Visitas Mediadas. ""Dirigidas por mujeres. Cartografía de revistas peruanas del siglo XX""";Otros;20230404;20230613;Ingreso Libre;Sala de Exposiciones Francisco Laso;20230605;Presencial;Biblioteca Nacional del Perú
20230919;Dirigidas por mujeres. Cartografía de revistas peruanas del siglo XX;Exposición;20230317;20230614;Ingreso Libre;Sala de Exposiciones Francisco Laso;20230605;Presencial;Biblioteca Nacional del Perú
20230919;Prevención contra el maltrato y todas las formas de violencia hacia las niñas y niños;Charla, conversatorio y/o conferencia;20230608;20230608;Ingreso Libre;Sala;20230530;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;El prepucio de Valliere de Fiorella Rosalba Cruz Núñez;Charla, conversatorio y/o conferencia;20230601;20230601;Ingreso Libre;Hall principal;20230525;Presencial;Gran Biblioteca Pública de Lima
20230919;Mi propio guardián de páginas;Taller y/o curso;20230609;20230609;Ingreso Libre;Sala Principal;20230525;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;Animales cartoneros del Perú;Taller y/o curso;20230623;20230623;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - Breña
20230919;Las bibliotecas como herramientas básicas para una educación formativa;Charla, conversatorio y/o conferencia;20230622;20230622;Ingreso Libre;Hall principal;20230525;Presencial;Gran Biblioteca Pública de Lima
20230919;¡Los viejos a la tumba, los jóvenes a la obra! El legado de Manuel González Prada;Mediación de lectura;20230621;20230621;Ingreso Libre;Sala Principal;20230525;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;Cuentos redondos: ruleta mágica;Mediación de lectura;20230622;20230622;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - Breña
20230919;Un regalo para papá;Taller y/o curso;20230610;20230610;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;"Pintamos nuestras emociones con ""El Monstruo de colores""";Taller y/o curso;20230624;20230624;Ingreso Libre;Sala Principal;20230525;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;ReciclArte: un regalo a papá en su día;Taller y/o curso;20230616;20230616;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - Rímac
20230919;Con cariño para papá;Taller y/o curso;20230615;20230615;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - Breña
20230919;Bisutería para principiantes;Taller y/o curso;20230614;20230628;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - Rímac
20230919;Aprende matemáticas jugando;Taller y/o curso;20230609;20230623;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - Comas
20230919;¿Cómo armar el cubo mágico?;Taller y/o curso;20230609;20230623;Ingreso Libre;Sala Principal;20230525;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;Tejiendo mis sueños;Taller y/o curso;20230609;20230623;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - Comas
20230919;Tejiendo mis sueños;Taller y/o curso;20230602;20230623;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - El Agustino
20230919;Monstruo Rosa;Mediación de lectura;20230628;20230628;Ingreso Libre;Sala Principal;20230525;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;Leyendo con tacto;Club de lectura;20230623;20230623;Ingreso Libre;Sala para Invidentes;20230525;Presencial;Gran Biblioteca Pública de Lima
20230919;Soy lo que leo;Club de lectura;20230621;20230628;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - Comas
20230919;Prevención de la violencia contra la mujer;Charla, conversatorio y/o conferencia;20230620;20230620;Ingreso Libre;Sala Principal;20230525;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;Dirigidas por mujeres. Cartografía de revistas peruanas del siglo XX;Exposición;20230613;20230613;Ingreso Libre;Sala de Exposiciones Francisco Laso;20230525;Presencial;Biblioteca Nacional del Perú
20230919;Mediación de lectura (Nivel básico);Taller y/o curso;20230613;20230615;Ingreso Libre;Sala Principal;20230525;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;"""Acleman"" de Luciano Acleman";Charla, conversatorio y/o conferencia;20230615;20230615;Ingreso Libre;Hall principal;20230525;Presencial;Gran Biblioteca Pública de Lima
20230919;Mujer: Derechos y oportunidades;Charla, conversatorio y/o conferencia;20230615;20230615;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - La Victoria
20230919;Lectores en acción;Club de lectura;20230614;20230614;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - Comas
20230919;La hora del cuento en Tarata;Mediación de lectura;20230614;20230627;Ingreso Libre;Sala Principal;20230525;Presencial;Estación de Biblioteca Pública Tarata-Tacna
20230919;El trabajo infantil en el contexto actual;Charla, conversatorio y/o conferencia;20230613;20230613;Ingreso Libre;Sala;20230525;Presencial;Estación de Biblioteca Pública - Rímac
20230919;Sentido arácnido;Charla, conversatorio y/o conferencia;20230615;20230615;Ingreso Libre;Otros;20230525;Presencial;Biblioteca Nacional del Perú
20230919;Agricultura y agricultores(as) en la literatura;Exposición;20230605;20230628;Ingreso Libre;Sala Principal;20230525;Presencial;Estación de Biblioteca Pública Tarata-Tacna
